1,0.1318,96.32
2,0.1010,97.06
3,0.0887,97.39
4,0.0807,97.58
5,0.0748,97.75
6,0.0707,97.84
7,0.0666,97.94
8,0.0647,98.03
9,0.0647,98.00
10,0.0613,98.08
11,0.0600,98.08
12,0.0599,98.18
13,0.0565,98.19
14,0.0563,98.27
15,0.0557,98.27
16,0.0536,98.33
17,0.0527,98.28
18,0.0529,98.34
19,0.0536,98.32
20,0.0516,98.43
21,0.0522,98.34
22,0.0506,98.42
23,0.0508,98.30
24,0.0507,98.43
25,0.0493,98.38
26,0.0486,98.45
27,0.0484,98.50
28,0.0480,98.50
29,0.0467,98.57
30,0.0467,98.59
31,0.0453,98.57
32,0.0456,98.59
33,0.0454,98.55
34,0.0448,98.52
35,0.0453,98.59
36,0.0451,98.56
37,0.0450,98.61
38,0.0448,98.50
39,0.0448,98.57
40,0.0453,98.56
41,0.0453,98.59
42,0.0456,98.63
43,0.0447,98.58
44,0.0450,98.55
45,0.0454,98.52
46,0.0448,98.50
47,0.0449,98.55
48,0.0456,98.59
49,0.0453,98.63
50,0.0450,98.60
51,0.0447,98.60
52,0.0451,98.55
53,0.0454,98.55
54,0.0452,98.60
55,0.0453,98.58
56,0.0451,98.56
57,0.0446,98.55
58,0.0450,98.59
59,0.0447,98.55
60,0.0449,98.61
